KYC对账号,发行人,信用主体简称,信用主体,KYC expiry date,KYC Status
0022【Tianxing V】,JINGRUI HOLDINGS LTD,景瑞控股,景瑞控股有限公司,,需QRC确认Existing
0021【Salmon】,TENCENT HOLDINGS LTD,腾讯控股,腾讯控股有限公司,,需QRC确认Existing
0020【Mercury X】,POWERCHINA ROADBRIDGE GROUP BRITISH VIRGIN ISLANDS LTD,中国电建,中国电力建设集团有限公司,,需QRC确认Existing
0019【Great Bay】,SCI HK DEVELOPMENT LTD,广州科学城,科学城(广州)投资集团有限公司,,需QRC确认Existing
0018【Sailing】,SHAANXI FINANCIAL ASSETS MANAGEMENT CO LTD,陕西金资,陕西金融资产管理股份有限公司,,需QRC确认Existing
0017【Landmark 2020】,LANDMARK FUNDING 2020 LTD,民生金租,民生金融租赁股份有限公司,,需QRC确认Existing
0016【Peninsula III】,HUATONG INTERNATIONAL INVESTMENT HOLDINGS CO LTD,青岛华通,青岛华通国有资本投资运营集团有限公司,,需QRC确认Existing
0015【GT3】,GUANG TAO INVESTMENT LTD,华发股份,珠海华发实业股份有限公司,,需QRC确认Existing
0014【Sapphire】,JINCHUAN GOLDEN OCEAN CAPITAL LTD,金川集团,金川集团股份有限公司,,需QRC确认Existing
0013【Landmark IV】,SOUTHWEST SECURITIES INTERNATIONAL SECURITIES LTD,西南证券,西南证券股份有限公司,,需QRC确认Existing
0012【Blue Sparkle】,BLUE BRIGHT LTD,中航产融,中航工业产融控股股份有限公司,,需QRC确认Existing
0011【Jasmine II】,CHINA INDUSTRIAL SECURITIES INTERNATIONAL FINANCIAL GROUP LTD,兴业证券,兴业证券股份有限公司,,需QRC确认Existing
0010【Union Plaza】,CHINA OVERSEAS GRAND OCEANS FINANCE IV CAYMAN LTD,中海外宏洋,中国海外宏洋集团有限公司,,需QRC确认Existing
0009【Bridge Tap】,HOPSON CAPITAL INTERNATIONAL GROUP CO LTD,合生创展,合生创展集团有限公司,,需QRC确认Existing
